Temperature_K_,Field_T_,FieldAngle_deg_,CriticalCurrent_A_,CriticalCurrentPerCmWidth_A_cm_,n_value
19.99,7,92,726.84,1817.09,24.38
20,7,90,468.57,1171.42,17.57
19.99,7,88,344.41,861.02,15.95
20,7,86,281.55,703.88,15.92
19.99,7,84,242.7,606.74,16.1
19.99,7,81,207.59,518.97,16.26
19.99,7,78,186.89,467.24,16.9
20,7,75,173.52,433.79,18.18
20,7,70,158.17,395.42,19.34
19.99,7,65,147.47,368.67,19.04
20,7,60,141.53,353.83,20.61
20.01,7,55,138.51,346.29,23.9
20,7,50,134.69,336.73,22.68
20.01,7,45,131.86,329.66,21.27
20,7,40,129.89,324.73,19.86
20,7,35,130.8,326.99,21.36
20,7,30,131.73,329.33,21.57
20,7,25,134.12,335.29,23.6
20,7,20,135.72,339.31,22.37
20,7,15,139.53,348.83,23.48
20,7,10,144.32,360.81,25.79
20,7,5,146.64,366.59,24.43
20,5,240,176.93,442.32,20.39
20,5,235,170.06,425.15,20.96
20,5,230,166.05,415.11,22.39
20,5,225,162.5,406.26,22.31
20,5,220,161.32,403.3,23.68
20.01,5,215,160.57,401.42,23.92
20,5,210,160.96,402.39,24.2
20,5,205,162.5,406.25,25.3
19.99,5,200,164.57,411.41,24.71
20,5,195,167.94,419.84,25.86
19.99,5,190,171.77,429.42,26.31
20,5,185,175.35,438.38,26.63
20,5,180,175.86,439.65,24.61
20,5,175,174.63,436.57,25.2
20,5,170,170.76,426.9,25.05
20,5,165,166.64,416.59,24.61
20,5,160,162.78,406.96,24.12
20,5,155,159.96,399.89,24.1
20,5,150,157.54,393.85,22.83
20,5,145,157.03,392.58,22.45
20,5,140,157.94,394.86,22.51
20,5,135,159.75,399.37,21.36
20,5,130,164.25,410.62,21.39
20,5,125,170.39,425.97,20.06
20.01,5,120,180.42,451.06,19.41
20,5,115,196.03,490.06,18.95
20,5,110,220.78,551.95,18.34
20,5,105,265.38,663.46,18.1
20,5,102,314.68,786.69,18.29
19.99,5,99,404.76,1011.89,19.71
19.99,5,96,594.23,1485.57,25.68
19.99,5,94,797.36,1993.39,36.01
20,5,92,826.32,2065.8,29.06
20,5,90,605.13,1512.82,19.8
20,5,88,451.73,1129.33,17.29
20,5,86,368.16,920.39,16.56
20.01,5,84,317.95,794.87,16.95
20,5,81,270.02,675.04,16.69
19.99,5,78,240.79,601.98,17.26
20,5,75,219.67,549.19,17.08
20,5,70,197.63,494.08,18.1
20,5,65,182.95,457.38,18.52
20,5,60,173.18,432.94,19.19
20.01,5,55,166.66,416.64,20.1
20,5,50,161.89,404.72,20.24
20,5,45,158.56,396.41,20.45
20,5,40,155.83,389.57,19.37
19.99,5,35,156.6,391.5,21.04
19.99,5,30,157.93,394.83,21.93
19.99,5,25,159.96,399.89,23.04
20,5,20,162.42,406.06,22.74
20,5,15,166.25,415.62,22.98
19.99,5,10,171.62,429.04,24.87
19.99,5,5,175.54,438.86,25.86
20,3,240,248.94,622.35,19.86
20,3,235,237.2,593,20.81
20,3,230,228.5,571.26,21.11
20,3,225,222.43,556.07,21.46
20,3,220,218.5,546.24,21.76
20,3,215,216.47,541.17,22.47
20,3,210,216.08,540.2,23.04
